January - December 2018 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 128 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,"Autauga County",Alabama,68.14,119,14.64,53.5
AL-003,"Baldwin County",Alabama,75.08,114,13.19,61.89
AL-005,"Barbour County",Alabama,60.05,103,7.75,52.3
AL-007,"Bibb County",Alabama,63.68,112,8.51,55.17
AL-009,"Blount County",Alabama,60.71,92,5.2,55.51
AL-011,"Bullock County",Alabama,59.68,106,7.6,52.08
AL-013,"Butler County",Alabama,66.11,112,10.4,55.71
AL-015,"Calhoun County",Alabama,57.61,88,4.29,53.32
AL-017,"Chambers County",Alabama,64.78,119,11.49,53.29
AL-019,"Cherokee County",Alabama,65.31,117,11.79,53.52
AL-021,"Chilton County",Alabama,68.3,120,14.14,54.16
AL-023,"Choctaw County",Alabama,62.3,95,5.49,56.81
AL-025,"Clarke County",Alabama,67.55,109,9.65,57.9
AL-027,"Clay County",Alabama,65.42,110,9.63,55.79
AL-029,"Cleburne County",Alabama,64.33,110,10.44,53.89
AL-031,"Coffee County",Alabama,69.95,118,13.75,56.2
AL-033,"Colbert County",Alabama,62.97,107,9.42,53.55
AL-035,"Conecuh County",Alabama,66.11,105,8.1,58.01
AL-037,"Coosa County",Alabama,66.56,114,11.95,54.61
AL-039,"Covington County",Alabama,70.2,113,11.57,58.63
AL-041,"Crenshaw County",Alabama,65.62,109,10.25,55.37
AL-043,"Cullman County",Alabama,61.46,91,5.39,56.07
AL-045,"Dale County",Alabama,67.47,113,13.08,54.39
AL-047,"Dallas County",Alabama,64.05,116,11.25,52.8
AL-049,"DeKalb County",Alabama,65.62,107,10.18,55.44
AL-051,"Elmore County",Alabama,63.75,115,10.32,53.43
AL-053,"Escambia County",Alabama,68.65,103,8.22,60.43
AL-055,"Etowah County",Alabama,59.66,90,5.26,54.4
AL-057,"Fayette County",Alabama,70.73,117,14.49,56.24
AL-059,"Franklin County",Alabama,63.66,103,8.96,54.7
AL-061,"Geneva County",Alabama,75.51,123,18.3,57.21
AL-063,"Greene County",Alabama,62.55,111,9.61,52.94
AL-065,"Hale County",Alabama,59.11,100,5.4,53.71
AL-067,"Henry County",Alabama,63.35,110,10.03,53.32
AL-069,"Houston County",Alabama,71.86,123,17.71,54.15
AL-071,"Jackson County",Alabama,65.7,113,10.94,54.76
AL-073,"Jefferson County",Alabama,61.42,96,5.93,55.49
AL-075,"Lamar County",Alabama,64.52,105,9.57,54.95
AL-077,"Lauderdale County",Alabama,64.15,113,10.16,53.99
AL-079,"Lawrence County",Alabama,63.83,105,10.42,53.41
AL-081,"Lee County",Alabama,62.42,111,10.14,52.28
AL-083,"Limestone County",Alabama,64.89,111,11.16,53.73
AL-085,"Lowndes County",Alabama,62.54,115,10.18,52.36
AL-087,"Macon County",Alabama,59.85,106,8.13,51.72
AL-089,"Madison County",Alabama,64.86,106,10.49,54.37
AL-091,"Marengo County",Alabama,54.31,72,0.13,54.18
AL-093,"Marion County",Alabama,65.36,105,9.77,55.59
AL-095,"Marshall County",Alabama,59.94,93,5.56,54.38
AL-097,"Mobile County",Alabama,70.35,100,7.87,62.48
AL-099,"Monroe County",Alabama,65.08,105,7.84,57.24
AL-101,"Montgomery County",Alabama,62.88,115,10.77,52.11
AL-103,"Morgan County",Alabama,61.76,95,7.8,53.96
AL-105,"Perry County",Alabama,59.06,97,5.5,53.56
AL-107,"Pickens County",Alabama,61.97,104,8.59,53.38
AL-109,"Pike County",Alabama,63.31,107,8.94,54.37
AL-111,"Randolph County",Alabama,66.1,117,11.46,54.64
AL-113,"Russell County",Alabama,57.84,104,8,49.84
AL-115,"St. Clair County",Alabama,59.98,90,4.92,55.06
AL-117,"Shelby County",Alabama,64.74,113,9.91,54.83
AL-119,"Sumter County",Alabama,58.75,88,4.65,54.1
AL-121,"Talladega County",Alabama,62.32,108,8.67,53.65
AL-123,"Tallapoosa County",Alabama,62.33,108,8.11,54.22
AL-125,"Tuscaloosa County",Alabama,64.18,107,8.79,55.39
AL-127,"Walker County",Alabama,60.93,84,4.43,56.5
AL-129,"Washington County",Alabama,68.69,105,9.01,59.68
AL-131,"Wilcox County",Alabama,59.67,97,5.42,54.25
AL-133,"Winston County",Alabama,65.03,100,8.61,56.42
AZ-001,"Apache County",Arizona,11,31,-2.45,13.45
AZ-003,"Cochise County",Arizona,15.59,85,0.96,14.63
AZ-005,"Coconino County",Arizona,12.32,54,-1.27,13.59
AZ-007,"Gila County",Arizona,17.58,40,-3.14,20.72
AZ-009,"Graham County",Arizona,16.04,82,0.8,15.24
AZ-011,"Greenlee County",Arizona,16.5,69,-0.27,16.77
AZ-012,"La Paz County",Arizona,5.25,53,-0.71,5.96
AZ-013,"Maricopa County",Arizona,9.17,75,-0.09,9.26
AZ-015,"Mohave County",Arizona,8.92,45,-1.65,10.57
AZ-017,"Navajo County",Arizona,10.51,38,-1.83,12.34
AZ-019,"Pima County",Arizona,13.67,98,1.17,12.5
AZ-021,"Pinal County",Arizona,12.43,81,-0.09,12.52
AZ-023,"Santa Cruz County",Arizona,19.76,86,1.33,18.43
AZ-025,"Yavapai County",Arizona,14.43,50,-1.84,16.27
AZ-027,"Yuma County",Arizona,4.48,64,-0.4,4.88
AR-001,"Arkansas County",Arkansas,56.16,95,5.13,51.03
AR-003,"Ashley County",Arkansas,67.49,110,14.36,53.13
AR-005,"Baxter County",Arkansas,52.13,106,8.75,43.38
AR-007,"Benton County",Arkansas,45.61,70,0.31,45.3
AR-009,"Boone County",Arkansas,51.78,110,8.13,43.65
AR-011,"Bradley County",Arkansas,71.27,120,19.2,52.07
AR-013,"Calhoun County",Arkansas,74.47,126,22.75,51.72
AR-015,"Carroll County",Arkansas,50.94,103,6.27,44.67
AR-017,"Chicot County",Arkansas,68.95,116,15.93,53.02
AR-019,"Clark County",Arkansas,70.3,121,18.66,51.64
AR-021,"Clay County",Arkansas,55.2,104,7.45,47.75
AR-023,"Cleburne County",Arkansas,62.41,116,12.43,49.98
AR-025,"Cleveland County",Arkansas,75.19,125,23.58,51.61
AR-027,"Columbia County",Arkansas,67.42,117,16.16,51.26
AR-029,"Conway County",Arkansas,63.31,118,14.31,49
AR-031,"Craighead County",Arkansas,68.39,124,19.93,48.46
AR-033,"Crawford County",Arkansas,56,107,8.3,47.7
AR-035,"Crittenden County",Arkansas,63.38,114,13.45,49.93
AR-037,"Cross County",Arkansas,70.1,124,19.77,50.33
AR-039,"Dallas County",Arkansas,75.34,126,23.97,51.37
