January - December 2018 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 128 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,"Autauga County",Alabama,65.2,111,1.2,63.9
AL-003,"Baldwin County",Alabama,68.1,112,1.3,66.8
AL-005,"Barbour County",Alabama,65.9,110,1.1,64.8
AL-007,"Bibb County",Alabama,63.9,108,1.1,62.7
AL-009,"Blount County",Alabama,62.5,116,1.9,60.6
AL-011,"Bullock County",Alabama,65.3,109,1.2,64.1
AL-013,"Butler County",Alabama,65.9,112,1.3,64.6
AL-015,"Calhoun County",Alabama,62.9,116,2,61
AL-017,"Chambers County",Alabama,63,114,1.4,61.6
AL-019,"Cherokee County",Alabama,62,112,1.4,60.6
AL-021,"Chilton County",Alabama,63.5,96,0.8,62.7
AL-023,"Choctaw County",Alabama,66.1,117,1.6,64.5
AL-025,"Clarke County",Alabama,66.2,113,1.4,64.9
AL-027,"Clay County",Alabama,62.1,113,1.4,60.7
AL-029,"Cleburne County",Alabama,62,118,2.1,59.9
AL-031,"Coffee County",Alabama,66.5,109,1.1,65.4
AL-033,"Colbert County",Alabama,61.5,111,1.6,59.9
AL-035,"Conecuh County",Alabama,66.8,114,1.4,65.4
AL-037,"Coosa County",Alabama,63.2,102,0.9,62.3
AL-039,"Covington County",Alabama,66.8,112,1.3,65.6
AL-041,"Crenshaw County",Alabama,65.4,102,1,64.4
AL-043,"Cullman County",Alabama,61.9,114,1.6,60.3
AL-045,"Dale County",Alabama,66.8,110,1.1,65.7
AL-047,"Dallas County",Alabama,65.8,115,1.4,64.3
AL-049,"DeKalb County",Alabama,60.3,102,1.1,59.3
AL-051,"Elmore County",Alabama,65,113,1.2,63.8
AL-053,"Escambia County",Alabama,67.3,111,1.3,66
AL-055,"Etowah County",Alabama,62.5,113,1.6,60.9
AL-057,"Fayette County",Alabama,63.4,113,1.4,62
AL-059,"Franklin County",Alabama,61.4,111,1.5,59.9
AL-061,"Geneva County",Alabama,67.5,114,1.5,66.1
AL-063,"Greene County",Alabama,64.8,105,1,63.8
AL-065,"Hale County",Alabama,64.8,111,1.1,63.7
AL-067,"Henry County",Alabama,66.9,111,1.2,65.7
